name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type)
Koramangala Social,Yes,No,4.6,4694,Koramangala 7th Block,Lounge,American,1500,Delivery
Koramangala Social,Yes,No,4.6,4694,Koramangala 7th Block,Lounge,North Indian,1500,Delivery
Koramangala Social,Yes,No,4.6,4694,Koramangala 7th Block,Lounge,Chinese,1500,Delivery
Bearfoot Cafe,Yes,No,4.2,177,Koramangala 6th Block,Cafe,Cafe,600,Delivery
Waffle Magic,Yes,No,4.1,87,Koramangala 6th Block,Cafe,Cafe,700,Delivery
Waffle Magic,Yes,No,4.1,87,Koramangala 6th Block,Cafe,Desserts,700,Delivery
Mitran Da Junction,Yes,No,4.1,322,Koramangala 6th Block,Quick Bites,North Indian,600,Delivery
Biryani Miya,Yes,No,3.8,39,Koramangala 4th Block,Delivery,North Indian,600,Delivery
Baba Chatkora,Yes,No,4.2,823,Koramangala 6th Block,Casual Dining,North Indian,1000,Delivery
Smise,No,No,4.0,1209,Koramangala 4th Block,Cafe,Cafe,650,Delivery
Smise,No,No,4.0,1209,Koramangala 4th Block,Cafe,Continental,650,Delivery
Smise,No,No,4.0,1209,Koramangala 4th Block,Cafe,Italian,650,Delivery
Smise,No,No,4.0,1209,Koramangala 4th Block,Cafe,Pizza,650,Delivery
Shanthi Sagar,Yes,No,3.4,9,Koramangala 6th Block,Quick Bites,South Indian,250,Delivery
Nasi And Mee,Yes,Yes,4.4,2394,Koramangala 4th Block,Casual Dining,Chinese,1000,Delivery
Go Italia,Yes,No,4.0,781,Koramangala 6th Block,Casual Dining,Italian,750,Delivery
Go Italia,Yes,No,4.0,781,Koramangala 6th Block,Casual Dining,Pizza,750,Delivery
Go Italia,Yes,No,4.0,781,Koramangala 6th Block,Casual Dining,Fast Food,750,Delivery
Rajdhani Thali Restaurant,Yes,Yes,4.0,797,Koramangala 7th Block,Casual Dining,North Indian,900,Delivery
Oye Amritsar,Yes,Yes,4.0,1864,Koramangala 6th Block,Casual Dining,North Indian,600,Delivery
Toscano,Yes,Yes,4.5,718,Koramangala 7th Block,Casual Dining,Italian,1500,Delivery
China Pearl,Yes,Yes,4.4,1854,Koramangala 6th Block,Casual Dining,Chinese,1100,Delivery
Smoor,Yes,No,4.2,602,Koramangala 7th Block,Dessert Parlor,Desserts,900,Delivery
The Smoke Co.,Yes,Yes,4.4,523,Koramangala 6th Block,Casual Dining,American,2500,Delivery
Salt - Indian Restaurant Bar & Grill,Yes,Yes,4.4,681,Koramangala 7th Block,Casual Dining,North Indian,1500,Delivery
Pasta Street,Yes,Yes,4.5,261,Koramangala 4th Block,Casual Dining,Italian,1300,Delivery
Pasta Street,Yes,Yes,4.5,261,Koramangala 4th Block,Casual Dining,Pizza,1300,Delivery
Maria's Goan Kitchen,Yes,No,3.9,394,Koramangala 7th Block,Casual Dining,Chinese,750,Delivery
China Bowl,Yes,No,3.9,457,Koramangala 6th Block,Casual Dining,Chinese,1000,Delivery
White Elefan Coffee and Snack Bar,Yes,No,3.9,44,Koramangala 6th Block,Quick Bites,Fast Food,550,Delivery
White Elefan Coffee and Snack Bar,Yes,No,3.9,44,Koramangala 6th Block,Quick Bites,Chinese,550,Delivery
Grand Gowdru Hotel,Yes,No,3.4,31,Koramangala 6th Block,Casual Dining,South Indian,700,Delivery
Grand Gowdru Hotel,Yes,No,3.4,31,Koramangala 6th Block,Casual Dining,North Indian,700,Delivery
Grand Gowdru Hotel,Yes,No,3.4,31,Koramangala 6th Block,Casual Dining,Chinese,700,Delivery
Smokey Tribe Restaurant,Yes,No,3.8,267,Koramangala 7th Block,Casual Dining,Chinese,650,Delivery
Oldtown Dilli,Yes,Yes,4.1,258,Koramangala 4th Block,Casual Dining,North Indian,750,Delivery
154 Breakfast Club,Yes,Yes,4.0,1515,Koramangala 3rd Block,Cafe,Cafe,900,Delivery
154 Breakfast Club,Yes,Yes,4.0,1515,Koramangala 3rd Block,Cafe,Continental,900,Delivery
Mimansa @ Foxtrot,Yes,Yes,4.4,192,Koramangala 3rd Block,Cafe,Cafe,1000,Delivery
Magnolia,Yes,Yes,4.1,674,Koramangala 3rd Block,Casual Dining,Chinese,900,Delivery
Via Milano,Yes,Yes,4.2,1626,Koramangala 4th Block,Casual Dining,Italian,1500,Delivery
Via Milano,Yes,Yes,4.2,1626,Koramangala 4th Block,Casual Dining,Desserts,1500,Delivery
Via Milano,Yes,Yes,4.2,1626,Koramangala 4th Block,Casual Dining,Pizza,1500,Delivery
Smoke - The Sizzler House,Yes,Yes,4.0,1390,Koramangala 7th Block,Casual Dining,Continental,1100,Delivery
Smoke - The Sizzler House,Yes,Yes,4.0,1390,Koramangala 7th Block,Casual Dining,Chinese,1100,Delivery
Smoke - The Sizzler House,Yes,Yes,4.0,1390,Koramangala 7th Block,Casual Dining,Italian,1100,Delivery
Punjab Bistro,Yes,Yes,4.4,459,Koramangala 7th Block,"Casual Dining, Bar",North Indian,1500,Delivery
Qube Cafe,Yes,No,4.2,169,Koramangala 4th Block,Cafe,Cafe,700,Delivery
Qube Cafe,Yes,No,4.2,169,Koramangala 4th Block,Cafe,Desserts,700,Delivery
Calicut Durbar,Yes,No,3.8,57,Koramangala 7th Block,Quick Bites,North Indian,500,Delivery
Attic Lounge,Yes,Yes,4.0,1238,Koramangala 4th Block,Cafe,Cafe,700,Delivery
The Beer Cafe,Yes,Yes,4.2,1176,Koramangala 4th Block,Pub,Chinese,1300,Delivery
The Beer Cafe,Yes,Yes,4.2,1176,Koramangala 4th Block,Pub,Italian,1300,Delivery
Midnight Mania,Yes,No,4.1,725,Koramangala 6th Block,Delivery,Pizza,700,Delivery
Midnight Mania,Yes,No,4.1,725,Koramangala 6th Block,Delivery,Italian,700,Delivery
Pipabu,Yes,No,3.8,75,Koramangala 4th Block,Casual Dining,Continental,750,Delivery
Pipabu,Yes,No,3.8,75,Koramangala 4th Block,Casual Dining,Italian,750,Delivery
Pipabu,Yes,No,3.8,75,Koramangala 4th Block,Casual Dining,Chinese,750,Delivery
Aubree Le Chocolatier,Yes,No,3.5,18,Koramangala 6th Block,Dessert Parlor,Desserts,300,Delivery
Laziz Pizza,Yes,No,3.8,46,Koramangala 7th Block,Quick Bites,Fast Food,400,Delivery
Laziz Pizza,Yes,No,3.8,46,Koramangala 7th Block,Quick Bites,Pizza,400,Delivery
Harry's Bar + Cafe,Yes,Yes,4.2,1367,Koramangala 7th Block,"Casual Dining, Bar",American,1400,Delivery
PagalKhana,Yes,Yes,3.9,144,Koramangala 4th Block,Casual Dining,Continental,1000,Delivery
PagalKhana,Yes,Yes,3.9,144,Koramangala 4th Block,Casual Dining,Chinese,1000,Delivery
PagalKhana,Yes,Yes,3.9,144,Koramangala 4th Block,Casual Dining,Fast Food,1000,Delivery
Kargeens,Yes,No,4.1,992,Koramangala 6th Block,Cafe,Cafe,600,Delivery
Kargeens,Yes,No,4.1,992,Koramangala 6th Block,Cafe,Continental,600,Delivery
Kargeens,Yes,No,4.1,992,Koramangala 6th Block,Cafe,Italian,600,Delivery
Fill N Chill Resto Bar & Pub,Yes,Yes,3.9,599,Koramangala 4th Block,Bar,North Indian,1200,Delivery
Fill N Chill Resto Bar & Pub,Yes,Yes,3.9,599,Koramangala 4th Block,Bar,Chinese,1200,Delivery
BelgYum,Yes,No,4.0,69,Koramangala 7th Block,Dessert Parlor,Desserts,400,Delivery
Rollin,Yes,No,4.0,212,Koramangala 4th Block,Quick Bites,Continental,400,Delivery
Rollin,Yes,No,4.0,212,Koramangala 4th Block,Quick Bites,Pizza,400,Delivery
Rollin,Yes,No,4.0,212,Koramangala 4th Block,Quick Bites,Chinese,400,Delivery
Nite Out,Yes,No,4.0,1113,Koramangala 4th Block,Delivery,North Indian,500,Delivery
Nite Out,Yes,No,4.0,1113,Koramangala 4th Block,Delivery,Chinese,500,Delivery
The Food Dude,Yes,No,3.9,179,Koramangala 6th Block,Delivery,Fast Food,300,Delivery
The Food Dude,Yes,No,3.9,179,Koramangala 6th Block,Delivery,Pizza,300,Delivery
Halo Chef,Yes,No,3.9,144,Koramangala 4th Block,Delivery,North Indian,500,Delivery
1522 - The Pub,No,Yes,4.2,1741,Koramangala 4th Block,Pub,Chinese,1400,Delivery
1522 - The Pub,No,Yes,4.2,1741,Koramangala 4th Block,Pub,Continental,1400,Delivery
1522 - The Pub,No,Yes,4.2,1741,Koramangala 4th Block,Pub,North Indian,1400,Delivery
Barleyz,No,No,3.7,4652,Koramangala 6th Block,"Lounge, Microbrewery",North Indian,2000,Delivery
Barleyz,No,No,3.7,4652,Koramangala 6th Block,"Lounge, Microbrewery",Continental,2000,Delivery
Barleyz,No,No,3.7,4652,Koramangala 6th Block,"Lounge, Microbrewery",Chinese,2000,Delivery
Eat Street,No,No,4.2,1534,Koramangala 6th Block,Quick Bites,North Indian,600,Delivery
Eat Street,No,No,4.2,1534,Koramangala 6th Block,Quick Bites,Chinese,600,Delivery
Eat Street,No,No,4.2,1534,Koramangala 6th Block,Quick Bites,Italian,600,Delivery
Eat Street,No,No,4.2,1534,Koramangala 6th Block,Quick Bites,Desserts,600,Delivery
Pot-O-Noodles,No,Yes,4.3,164,Koramangala 4th Block,Casual Dining,Chinese,800,Delivery
Bundar,No,No,4.1,2449,Koramangala 6th Block,Cafe,Cafe,700,Delivery
Bundar,No,No,4.1,2449,Koramangala 6th Block,Cafe,Fast Food,700,Delivery
Bundar,No,No,4.1,2449,Koramangala 6th Block,Cafe,Desserts,700,Delivery
Nandhana Palace,No,Yes,4.1,811,Koramangala 4th Block,"Casual Dining, Bar",North Indian,800,Delivery
Nandhana Palace,No,Yes,4.1,811,Koramangala 4th Block,"Casual Dining, Bar",Chinese,800,Delivery
Enerjuvate Studio & Cafe,Yes,Yes,4.4,466,Koramangala 4th Block,Cafe,Cafe,800,Delivery
Enerjuvate Studio & Cafe,Yes,Yes,4.4,466,Koramangala 4th Block,Cafe,Continental,800,Delivery
Enerjuvate Studio & Cafe,Yes,Yes,4.4,466,Koramangala 4th Block,Cafe,Pizza,800,Delivery
Enerjuvate Studio & Cafe,Yes,Yes,4.4,466,Koramangala 4th Block,Cafe,Desserts,800,Delivery
The Chocolate Room,No,No,3.8,63,Koramangala 7th Block,"Cafe, Bakery",Cafe,600,Delivery
The Chocolate Room,No,No,3.8,63,Koramangala 7th Block,"Cafe, Bakery",Desserts,600,Delivery
Daily Bread,No,No,2.7,53,Koramangala 4th Block,"Bakery, Quick Bites",Fast Food,600,Delivery
Daily Bread,No,No,2.7,53,Koramangala 4th Block,"Bakery, Quick Bites",Italian,600,Delivery
The Breakfast Truck,No,No,3.8,65,Koramangala 6th Block,Quick Bites,Continental,550,Delivery
Chaai Resto,No,No,3.6,54,Koramangala 6th Block,"Beverage Shop, Quick Bites",Fast Food,250,Delivery
The Bier Library,Yes,Yes,4.3,563,Koramangala 6th Block,"Microbrewery, Casual Dining",Continental,2000,Desserts
The Bier Library,Yes,Yes,4.3,563,Koramangala 6th Block,"Microbrewery, Casual Dining",North Indian,2000,Desserts
The Bier Library,Yes,Yes,4.3,563,Koramangala 6th Block,"Microbrewery, Casual Dining",Pizza,2000,Desserts
Onesta,Yes,Yes,4.4,9079,Koramangala 4th Block,"Casual Dining, Cafe",Pizza,600,Desserts
Onesta,Yes,Yes,4.4,9079,Koramangala 4th Block,"Casual Dining, Cafe",Cafe,600,Desserts
Onesta,Yes,Yes,4.4,9079,Koramangala 4th Block,"Casual Dining, Cafe",Italian,600,Desserts
Third Wave Coffee Roasters,No,No,4.4,1225,Koramangala 4th Block,Cafe,Cafe,800,Desserts
Third Wave Coffee Roasters,No,No,4.4,1225,Koramangala 4th Block,Cafe,Continental,800,Desserts
Third Wave Coffee Roasters,No,No,4.4,1225,Koramangala 4th Block,Cafe,Desserts,800,Desserts
Eat Street,No,No,4.2,1534,Koramangala 6th Block,Quick Bites,North Indian,600,Desserts
Eat Street,No,No,4.2,1534,Koramangala 6th Block,Quick Bites,Chinese,600,Desserts
Eat Street,No,No,4.2,1534,Koramangala 6th Block,Quick Bites,Italian,600,Desserts
Eat Street,No,No,4.2,1534,Koramangala 6th Block,Quick Bites,Desserts,600,Desserts
Zee5 Loft,Yes,No,4.4,362,Koramangala 6th Block,Cafe,Cafe,500,Desserts
Zee5 Loft,Yes,No,4.4,362,Koramangala 6th Block,Cafe,North Indian,500,Desserts
Zee5 Loft,Yes,No,4.4,362,Koramangala 6th Block,Cafe,Pizza,500,Desserts
Occasions,Yes,No,4.3,190,Koramangala 4th Block,Bakery,Desserts,400,Desserts
CakeZone,No,No,3.9,124,Koramangala 4th Block,Bakery,Desserts,500,Desserts
Snow'ora,Yes,Yes,4.3,342,Koramangala 4th Block,Quick Bites,Desserts,450,Desserts
IceBreakers,No,No,4.5,493,Koramangala 6th Block,Dessert Parlor,Desserts,500,Desserts
Bite Me Cupcakes,Yes,No,4.1,192,Koramangala 4th Block,Dessert Parlor,Desserts,300,Desserts
BelgYum,Yes,No,4.0,69,Koramangala 7th Block,Dessert Parlor,Desserts,400,Desserts
Smoor,Yes,No,4.2,602,Koramangala 7th Block,Dessert Parlor,Desserts,900,Desserts
Cupcake Noggins,No,No,4.1,724,Koramangala 4th Block,"Dessert Parlor, Bakery",Desserts,300,Desserts
CakeWalk,No,No,4.0,366,Koramangala 4th Block,"Dessert Parlor, Bakery",Desserts,300,Desserts
Aubree Le Chocolatier,Yes,No,3.5,18,Koramangala 6th Block,Dessert Parlor,Desserts,300,Desserts
Ooty Chocolates,Yes,No,4.1,157,Koramangala 4th Block,Dessert Parlor,Desserts,300,Desserts
Ibaco,Yes,No,4.2,348,Koramangala 4th Block,Dessert Parlor,Desserts,300,Desserts
Chocolat Boulangerie Patisserie,No,No,4.1,445,Koramangala 4th Block,Dessert Parlor,Continental,400,Desserts
Chocolat Boulangerie Patisserie,No,No,4.1,445,Koramangala 4th Block,Dessert Parlor,Desserts,400,Desserts
Brownie Points,Yes,No,3.8,25,Koramangala 4th Block,Bakery,Desserts,300,Desserts
Daily Bread,No,No,2.7,53,Koramangala 4th Block,"Bakery, Quick Bites",Fast Food,600,Desserts
Daily Bread,No,No,2.7,53,Koramangala 4th Block,"Bakery, Quick Bites",Italian,600,Desserts
INDULGE by InnerChef,Yes,No,3.6,29,Koramangala 7th Block,Bakery,Desserts,400,Desserts
The Bier Library,Yes,Yes,4.3,563,Koramangala 6th Block,"Microbrewery, Casual Dining",Continental,2000,Dine-out
The Bier Library,Yes,Yes,4.3,563,Koramangala 6th Block,"Microbrewery, Casual Dining",North Indian,2000,Dine-out
The Bier Library,Yes,Yes,4.3,563,Koramangala 6th Block,"Microbrewery, Casual Dining",Pizza,2000,Dine-out
Koramangala Social,Yes,No,4.6,4694,Koramangala 7th Block,Lounge,American,1500,Dine-out
Koramangala Social,Yes,No,4.6,4694,Koramangala 7th Block,Lounge,North Indian,1500,Dine-out
Koramangala Social,Yes,No,4.6,4694,Koramangala 7th Block,Lounge,Chinese,1500,Dine-out
The Hole in the Wall Cafe,No,No,4.6,7122,Koramangala 4th Block,Cafe,Cafe,600,Dine-out
The Hole in the Wall Cafe,No,No,4.6,7122,Koramangala 4th Block,Cafe,American,600,Dine-out
Fenny's Lounge And Kitchen,No,Yes,4.6,6372,Koramangala 7th Block,"Bar, Casual Dining",Pizza,1600,Dine-out
Fenny's Lounge And Kitchen,No,Yes,4.6,6372,Koramangala 7th Block,"Bar, Casual Dining",Continental,1600,Dine-out
The Fixx,No,Yes,4.3,217,Koramangala 4th Block,"Casual Dining, Bar",Continental,1200,Dine-out
The Fixx,No,Yes,4.3,217,Koramangala 4th Block,"Casual Dining, Bar",South Indian,1200,Dine-out
The Fixx,No,Yes,4.3,217,Koramangala 4th Block,"Casual Dining, Bar",Italian,1200,Dine-out
The Fixx,No,Yes,4.3,217,Koramangala 4th Block,"Casual Dining, Bar",North Indian,1200,Dine-out
The Fixx,No,Yes,4.3,217,Koramangala 4th Block,"Casual Dining, Bar",Chinese,1200,Dine-out
Foxtrot - House of Subculture,No,Yes,4.4,373,Koramangala 3rd Block,"Cafe, Lounge",Cafe,1000,Dine-out
Foxtrot - House of Subculture,No,Yes,4.4,373,Koramangala 3rd Block,"Cafe, Lounge",American,1000,Dine-out
Foxtrot - House of Subculture,No,Yes,4.4,373,Koramangala 3rd Block,"Cafe, Lounge",North Indian,1000,Dine-out
Onesta,Yes,Yes,4.4,9079,Koramangala 4th Block,"Casual Dining, Cafe",Pizza,600,Dine-out
Onesta,Yes,Yes,4.4,9079,Koramangala 4th Block,"Casual Dining, Cafe",Cafe,600,Dine-out
Onesta,Yes,Yes,4.4,9079,Koramangala 4th Block,"Casual Dining, Cafe",Italian,600,Dine-out
Gramin,Yes,No,4.3,3459,Koramangala 7th Block,Casual Dining,North Indian,600,Dine-out
The Terrace at Gilly's Redefined,No,Yes,4.6,890,Koramangala 4th Block,"Microbrewery, Casual Dining",Continental,1400,Dine-out
The Terrace at Gilly's Redefined,No,Yes,4.6,890,Koramangala 4th Block,"Microbrewery, Casual Dining",North Indian,1400,Dine-out
Punjab Bistro,Yes,Yes,4.4,459,Koramangala 7th Block,"Casual Dining, Bar",North Indian,1500,Dine-out
Nasi And Mee,Yes,Yes,4.4,2394,Koramangala 4th Block,Casual Dining,Chinese,1000,Dine-out
Myu Bar at Gilly's Redefined,No,Yes,4.5,1231,Koramangala 4th Block,"Microbrewery, Bar",American,1200,Dine-out
Myu Bar at Gilly's Redefined,No,Yes,4.5,1231,Koramangala 4th Block,"Microbrewery, Bar",North Indian,1200,Dine-out
Myu Bar at Gilly's Redefined,No,Yes,4.5,1231,Koramangala 4th Block,"Microbrewery, Bar",Pizza,1200,Dine-out
Myu Bar at Gilly's Redefined,No,Yes,4.5,1231,Koramangala 4th Block,"Microbrewery, Bar",Continental,1200,Dine-out
Myu Bar at Gilly's Redefined,No,Yes,4.5,1231,Koramangala 4th Block,"Microbrewery, Bar",Italian,1200,Dine-out
Third Wave Coffee Roasters,No,No,4.4,1225,Koramangala 4th Block,Cafe,Cafe,800,Dine-out
Third Wave Coffee Roasters,No,No,4.4,1225,Koramangala 4th Block,Cafe,Continental,800,Dine-out
Third Wave Coffee Roasters,No,No,4.4,1225,Koramangala 4th Block,Cafe,Desserts,800,Dine-out
Sotally Tober,No,Yes,4.4,4081,Koramangala 4th Block,"Bar, Casual Dining",Pizza,1200,Dine-out
Sotally Tober,No,Yes,4.4,4081,Koramangala 4th Block,"Bar, Casual Dining",Chinese,1200,Dine-out
The Old Fashioned Bar,No,Yes,4.5,571,Koramangala 6th Block,Bar,North Indian,1000,Dine-out
The Old Fashioned Bar,No,Yes,4.5,571,Koramangala 6th Block,Bar,Continental,1000,Dine-out
Pasta Street,Yes,Yes,4.5,261,Koramangala 4th Block,Casual Dining,Italian,1300,Dine-out
Pasta Street,Yes,Yes,4.5,261,Koramangala 4th Block,Casual Dining,Pizza,1300,Dine-out
The Smoke Co.,Yes,Yes,4.4,523,Koramangala 6th Block,Casual Dining,American,2500,Dine-out
Barleyz,No,No,3.7,4652,Koramangala 6th Block,"Lounge, Microbrewery",North Indian,2000,Dine-out
Barleyz,No,No,3.7,4652,Koramangala 6th Block,"Lounge, Microbrewery",Continental,2000,Dine-out
Barleyz,No,No,3.7,4652,Koramangala 6th Block,"Lounge, Microbrewery",Chinese,2000,Dine-out
Salt - Indian Restaurant Bar & Grill,Yes,Yes,4.4,681,Koramangala 7th Block,Casual Dining,North Indian,1500,Dine-out
The Beer Cafe,Yes,Yes,4.2,1176,Koramangala 4th Block,Pub,Chinese,1300,Dine-out
The Beer Cafe,Yes,Yes,4.2,1176,Koramangala 4th Block,Pub,Italian,1300,Dine-out
Baba Chatkora,Yes,No,4.2,823,Koramangala 6th Block,Casual Dining,North Indian,1000,Dine-out
Via Milano,Yes,Yes,4.2,1626,Koramangala 4th Block,Casual Dining,Italian,1500,Dine-out
Via Milano,Yes,Yes,4.2,1626,Koramangala 4th Block,Casual Dining,Desserts,1500,Dine-out
Via Milano,Yes,Yes,4.2,1626,Koramangala 4th Block,Casual Dining,Pizza,1500,Dine-out
Lot Like Crepes,Yes,No,4.6,1026,Koramangala 7th Block,"Cafe, Dessert Parlor",Cafe,550,Dine-out
Lot Like Crepes,Yes,No,4.6,1026,Koramangala 7th Block,"Cafe, Dessert Parlor",Desserts,550,Dine-out
Lot Like Crepes,Yes,No,4.6,1026,Koramangala 7th Block,"Cafe, Dessert Parlor",Continental,550,Dine-out
Nandhana Palace,No,Yes,4.1,811,Koramangala 4th Block,"Casual Dining, Bar",North Indian,800,Dine-out
Nandhana Palace,No,Yes,4.1,811,Koramangala 4th Block,"Casual Dining, Bar",Chinese,800,Dine-out
Magnolia,Yes,Yes,4.1,674,Koramangala 3rd Block,Casual Dining,Chinese,900,Dine-out
Oye Amritsar,Yes,Yes,4.0,1864,Koramangala 6th Block,Casual Dining,North Indian,600,Dine-out
The Local - Terrace Drinkery,No,No,4.0,1408,Koramangala 6th Block,"Pub, Casual Dining",Continental,1000,Dine-out
The Local - Terrace Drinkery,No,No,4.0,1408,Koramangala 6th Block,"Pub, Casual Dining",American,1000,Dine-out
The Local - Terrace Drinkery,No,No,4.0,1408,Koramangala 6th Block,"Pub, Casual Dining",Pizza,1000,Dine-out
154 Breakfast Club,Yes,Yes,4.0,1515,Koramangala 3rd Block,Cafe,Cafe,900,Dine-out
154 Breakfast Club,Yes,Yes,4.0,1515,Koramangala 3rd Block,Cafe,Continental,900,Dine-out
Mustard Cafe,Yes,No,4.1,894,Koramangala 3rd Block,Cafe,Cafe,800,Dine-out
Mustard Cafe,Yes,No,4.1,894,Koramangala 3rd Block,Cafe,Continental,800,Dine-out
Mustard Cafe,Yes,No,4.1,894,Koramangala 3rd Block,Cafe,Italian,800,Dine-out
JukeBox,No,Yes,3.9,282,Koramangala 7th Block,"Casual Dining, Bar",Continental,1000,Dine-out
JukeBox,No,Yes,3.9,282,Koramangala 7th Block,"Casual Dining, Bar",Chinese,1000,Dine-out
JukeBox,No,Yes,3.9,282,Koramangala 7th Block,"Casual Dining, Bar",North Indian,1000,Dine-out
JukeBox,No,Yes,3.9,282,Koramangala 7th Block,"Casual Dining, Bar",Italian,1000,Dine-out
Fill N Chill Resto Bar & Pub,Yes,Yes,3.9,598,Koramangala 4th Block,Bar,North Indian,1200,Dine-out
Fill N Chill Resto Bar & Pub,Yes,Yes,3.9,598,Koramangala 4th Block,Bar,Chinese,1200,Dine-out
Smoke - The Sizzler House,Yes,Yes,4.0,1390,Koramangala 7th Block,Casual Dining,Continental,1100,Dine-out
Smoke - The Sizzler House,Yes,Yes,4.0,1390,Koramangala 7th Block,Casual Dining,Chinese,1100,Dine-out
Smoke - The Sizzler House,Yes,Yes,4.0,1390,Koramangala 7th Block,Casual Dining,Italian,1100,Dine-out
China Bowl,Yes,No,3.9,457,Koramangala 6th Block,Casual Dining,Chinese,1000,Dine-out
Aalishan Restaurant & Caterer,Yes,No,3.5,889,Koramangala 7th Block,Casual Dining,North Indian,650,Dine-out
Tata Cha,Yes,No,3.6,32,Koramangala 7th Block,Cafe,Cafe,500,Dine-out
Tata Cha,Yes,No,3.6,32,Koramangala 7th Block,Cafe,North Indian,500,Dine-out
Smise,No,No,4.0,1209,Koramangala 4th Block,Cafe,Cafe,650,Dine-out
Smise,No,No,4.0,1209,Koramangala 4th Block,Cafe,Continental,650,Dine-out
Smise,No,No,4.0,1209,Koramangala 4th Block,Cafe,Italian,650,Dine-out
Smise,No,No,4.0,1209,Koramangala 4th Block,Cafe,Pizza,650,Dine-out
Go Italia,Yes,No,4.0,782,Koramangala 6th Block,Casual Dining,Italian,750,Dine-out
Go Italia,Yes,No,4.0,782,Koramangala 6th Block,Casual Dining,Pizza,750,Dine-out
Go Italia,Yes,No,4.0,782,Koramangala 6th Block,Casual Dining,Fast Food,750,Dine-out
Saara's Grill n Spice - SS Lumina Hotel,No,Yes,4.3,106,Koramangala 7th Block,Casual Dining,North Indian,1000,Dine-out
Chaat Street,Yes,No,3.9,293,Koramangala 6th Block,Kiosk,North Indian,250,Dine-out
Hotel Tom's Restaurant,Yes,No,4.0,69,Koramangala 6th Block,Casual Dining,Chinese,1000,Dine-out
Hotel Tom's Restaurant,Yes,No,4.0,69,Koramangala 6th Block,Casual Dining,North Indian,1000,Dine-out
Banana Beach Bar,Yes,Yes,3.7,1015,Koramangala 6th Block,Bar,Continental,1300,Dine-out
Banana Beach Bar,Yes,Yes,3.7,1015,Koramangala 6th Block,Bar,Chinese,1300,Dine-out
Maria's Goan Kitchen,Yes,No,3.9,395,Koramangala 7th Block,Casual Dining,Chinese,750,Dine-out
Entropy Cafe,Yes,No,4.1,507,Koramangala 6th Block,Cafe,Cafe,600,Dine-out
Entropy Cafe,Yes,No,4.1,507,Koramangala 6th Block,Cafe,Chinese,600,Dine-out
Entropy Cafe,Yes,No,4.1,507,Koramangala 6th Block,Cafe,Pizza,600,Dine-out
Entropy Cafe,Yes,No,4.1,507,Koramangala 6th Block,Cafe,North Indian,600,Dine-out
Barcode,No,Yes,3.8,170,Koramangala 4th Block,Bar,South Indian,1300,Dine-out
Barcode,No,Yes,3.8,170,Koramangala 4th Block,Bar,North Indian,1300,Dine-out
Eshmeet Da Dhaba,Yes,No,3.1,121,Koramangala 6th Block,Casual Dining,North Indian,500,Dine-out
Eshmeet Da Dhaba,Yes,No,3.1,121,Koramangala 6th Block,Casual Dining,Chinese,500,Dine-out
Om's Cafe Prana,No,No,3.6,17,Koramangala 7th Block,Cafe,Cafe,300,Dine-out
Om's Cafe Prana,No,No,3.6,17,Koramangala 7th Block,Cafe,Fast Food,300,Dine-out
Taco Bell,Yes,No,4.1,1963,Koramangala 6th Block,Quick Bites,American,600,Dine-out
Taco Bell,Yes,No,4.1,1963,Koramangala 6th Block,Quick Bites,Fast Food,600,Dine-out
Eat Street,No,No,4.2,1534,Koramangala 6th Block,Quick Bites,North Indian,600,Dine-out
Eat Street,No,No,4.2,1534,Koramangala 6th Block,Quick Bites,Chinese,600,Dine-out
Eat Street,No,No,4.2,1534,Koramangala 6th Block,Quick Bites,Italian,600,Dine-out
Eat Street,No,No,4.2,1534,Koramangala 6th Block,Quick Bites,Desserts,600,Dine-out
Mooch Marod,No,No,4.2,94,Koramangala 6th Block,Quick Bites,North Indian,400,Dine-out
White Elefan Coffee and Snack Bar,Yes,No,3.9,44,Koramangala 6th Block,Quick Bites,Fast Food,550,Dine-out
White Elefan Coffee and Snack Bar,Yes,No,3.9,44,Koramangala 6th Block,Quick Bites,Chinese,550,Dine-out
La Pino'z Pizza,Yes,No,4.1,506,Koramangala 4th Block,Quick Bites,Italian,600,Dine-out
La Pino'z Pizza,Yes,No,4.1,506,Koramangala 4th Block,Quick Bites,Pizza,600,Dine-out
Tenzin Kitchen,Yes,No,4.2,534,Koramangala 7th Block,Quick Bites,Chinese,450,Dine-out
Podi Idly,Yes,No,4.3,656,Koramangala 6th Block,Quick Bites,South Indian,250,Dine-out
Fiero! Pizzeria,Yes,No,4.0,62,Koramangala 6th Block,Quick Bites,Italian,400,Dine-out
Fiero! Pizzeria,Yes,No,4.0,62,Koramangala 6th Block,Quick Bites,Fast Food,400,Dine-out
Fiero! Pizzeria,Yes,No,4.0,62,Koramangala 6th Block,Quick Bites,Pizza,400,Dine-out
Khatta Meetha Teekha,Yes,No,4.3,193,Koramangala 6th Block,Quick Bites,North Indian,300,Dine-out
Khatta Meetha Teekha,Yes,No,4.3,193,Koramangala 6th Block,Quick Bites,Chinese,300,Dine-out
Snow'ora,Yes,Yes,4.3,343,Koramangala 4th Block,Quick Bites,Desserts,450,Dine-out
KFC,Yes,No,3.8,477,Koramangala 6th Block,Quick Bites,Fast Food,450,Dine-out
