name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type)
Daawat Restaurant Bar & Pub,Yes,No,3.5,9,Koramangala 7th Block,"Bar, Casual Dining",Chinese,700,Pubs and bars
H3O,No,No,3.3,4,Koramangala 4th Block,Bar,North Indian,1000,Pubs and bars
H3O,No,No,3.3,4,Koramangala 4th Block,Bar,Chinese,1000,Pubs and bars
Chutney Chang,Yes,Yes,4.2,4733,Church Street,Casual Dining,North Indian,1500,Buffet
Chutney Chang,Yes,Yes,4.2,4733,Church Street,Casual Dining,Chinese,1500,Buffet
Mainland China,Yes,Yes,4.5,1401,Church Street,"Casual Dining, Bar",Chinese,1700,Buffet
Empire Restaurant,Yes,No,4.0,3213,Church Street,Casual Dining,North Indian,750,Buffet
Empire Restaurant,Yes,No,4.0,3213,Church Street,Casual Dining,South Indian,750,Buffet
Empire Restaurant,Yes,No,4.0,3213,Church Street,Casual Dining,Chinese,750,Buffet
Ebony,Yes,Yes,4.3,3130,MG Road,Casual Dining,North Indian,1500,Buffet
Ebony,Yes,Yes,4.3,3130,MG Road,Casual Dining,South Indian,1500,Buffet
JW Kitchen - JW Marriott Bengaluru,No,Yes,4.4,2119,Lavelle Road,Fine Dining,North Indian,2200,Buffet
JW Kitchen - JW Marriott Bengaluru,No,Yes,4.4,2119,Lavelle Road,Fine Dining,Continental,2200,Buffet
JW Kitchen - JW Marriott Bengaluru,No,Yes,4.4,2119,Lavelle Road,Fine Dining,Italian,2200,Buffet
The Tao Terraces,Yes,Yes,4.0,1913,MG Road,Casual Dining,Chinese,2100,Buffet
Rasovara,Yes,Yes,4.3,765,Lavelle Road,Casual Dining,North Indian,1400,Buffet
Le Jardin - The Oberoi,No,No,4.3,689,MG Road,Fine Dining,North Indian,3000,Buffet
BBQ@52,No,Yes,3.7,41,MG Road,Casual Dining,Continental,1500,Buffet
Konark Vegetarian Restaurant,No,No,4.1,1007,Residency Road,Casual Dining,North Indian,500,Buffet
Konark Vegetarian Restaurant,No,No,4.1,1007,Residency Road,Casual Dining,Chinese,500,Buffet
Konark Vegetarian Restaurant,No,No,4.1,1007,Residency Road,Casual Dining,Continental,500,Buffet
Konark Vegetarian Restaurant,No,No,4.1,1007,Residency Road,Casual Dining,South Indian,500,Buffet
BBQ'D - Global Grill & Brewery,No,No,4.3,458,Lavelle Road,"Casual Dining, Microbrewery",North Indian,1500,Buffet
The Spice Bazaar,No,Yes,4.2,332,Lavelle Road,"Casual Dining, Bar",North Indian,1000,Buffet
The Market - The Ritz-Carlton,No,Yes,4.3,614,Residency Road,Fine Dining,North Indian,3400,Buffet
Ithaca - The Chancery Pavilion,No,Yes,3.9,312,Residency Road,Fine Dining,North Indian,2000,Buffet
Ithaca - The Chancery Pavilion,No,Yes,3.9,312,Residency Road,Fine Dining,Italian,2000,Buffet
Ithaca - The Chancery Pavilion,No,Yes,3.9,312,Residency Road,Fine Dining,Continental,2000,Buffet
South Parade - The Chancery Hotel,No,No,3.1,123,Lavelle Road,"Casual Dining, Bar",North Indian,1200,Buffet
South Parade - The Chancery Hotel,No,No,3.1,123,Lavelle Road,"Casual Dining, Bar",Continental,1200,Buffet
South Parade - The Chancery Hotel,No,No,3.1,123,Lavelle Road,"Casual Dining, Bar",Chinese,1200,Buffet
Canopy,No,No,3.0,108,MG Road,Casual Dining,North Indian,800,Buffet
Canopy,No,No,3.0,108,MG Road,Casual Dining,Continental,800,Buffet
Canopy,No,No,3.0,108,MG Road,Casual Dining,Chinese,800,Buffet
Banjara Melting Pot,Yes,Yes,4.2,475,Cunningham Road,Casual Dining,North Indian,1700,Buffet
Banjara Melting Pot,Yes,Yes,4.2,475,Cunningham Road,Casual Dining,Chinese,1700,Buffet
BISO - Citrus Hotels,No,Yes,3.9,158,Cunningham Road,Casual Dining,North Indian,1100,Buffet
BISO - Citrus Hotels,No,Yes,3.9,158,Cunningham Road,Casual Dining,South Indian,1100,Buffet
BISO - Citrus Hotels,No,Yes,3.9,158,Cunningham Road,Casual Dining,Italian,1100,Buffet
